user,game,hrs,purchase,play
106986812,Natural Selection 2,0.0,1,0
54310644,Worms Reloaded,0.0,1,0
195105284,Dirty Bomb,0.0,1,0
47457723,Harvester,0.0,1,0
273082868,Counter-Strike Global Offensive,265.0,1,1
255728964,Skyrim High Resolution Texture Pack,0.0,1,0
116876958,Long Live The Queen,2.2,1,1
18263482,Deathmatch Classic,0.0,1,0
96696864,The Darkness II,8.8,1,1
56038151,Might & Magic Heroes VI,0.9,1,1
81439192,Thief Gold,1.6,1,1
33013552,Overlord Raising Hell,0.0,1,0
11300897,Neverwinter,0.0,1,0
105445346,Borderlands DLC The Zombie Island of Dr. Ned,0.0,1,0
120271188,Fallout 3 - Game of the Year Edition,44.0,1,1
196066421,Valiant Hearts The Great War / Soldats Inconnus  Mmoires de la Grande Guerre,0.7,1,1
76892907,The Witcher Enhanced Edition,0.0,1,0
61676491,Red Faction,0.3,1,1
37422528,Quake II The Reckoning,0.0,1,0
116876958,Black Mirror,0.7,1,1
73726855,Rusty Hearts,0.0,1,0
83849502,Zen Bound 2,0.0,1,0
185075395,X-COM UFO Defense,0.0,1,0
174287424,PAYDAY 2,27.0,1,1
91800733,Call of Duty Black Ops II,10.5,1,1
43186470,Deathmatch Classic,0.5,1,1
98818460,Terraria,693.0,1,1
155919035,Chivalry Medieval Warfare,4.0,1,1
198722652,Trove,0.3,1,1
192105970,You Have to Win the Game,1.4,1,1
77214425,Heroes & Generals,1.6,1,1
166863117,Dungeon Fighter Online,0.0,1,0
48525807,XCOM Enemy Unknown,12.8,1,1
35047392,Left 4 Dead 2,1.2,1,1
24469287,Valdis Story Abyssal City,0.4,1,1
156941467,Enclave,0.0,1,0
58905429,Mirror's Edge,0.6,1,1
10599862,COH2 - The Western Front Armies Oberkommando West,0.0,1,0
154868247,Counter-Strike Nexon Zombies,0.0,1,0
115487966,Left 4 Dead 2,10.5,1,1
11952990,The Banner Saga - Mod Content,0.0,1,0
51822361,Krater,0.3,1,1
22301321,Final DOOM,0.0,1,0
48798067,Aura Kingdom,28.0,1,1
122216032,Borderlands DLC Mad Moxxi's Underdome Riot,0.0,1,0
159114904,Gun Monkeys,0.0,1,0
13565651,Gotham City Impostors Free To Play,0.0,1,0
7907686,Dota 2,0.6,1,1
54310644,Grand Theft Auto Vice City,0.0,2,0
66950079,Dead Island Epidemic,0.0,1,0
34384042,Half-Life Blue Shift,0.0,1,0
178038549,Grand Theft Auto V,389.0,1,1
296769824,Robocraft,23.0,1,1
58345543,Defense Grid The Awakening,16.3,1,1
58057627,Peggle Deluxe,2.3,1,1
243627451,Piercing Blow,0.1,1,1
103624897,Max Payne 3,66.0,1,1
99766416,Half-Life 2 Episode One,6.4,1,1
225982565,Team Fortress 2,0.2,1,1
86912006,The Ship Tutorial,0.0,1,0
191979928,Euro Truck Simulator 2,1.4,1,1
64158475,Napoleon Total War,0.0,1,0
81160212,Assassin's Creed III,0.0,1,0
115324976,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,4.3,1,1
